file,sha256,total_lines,comment_lines,docstrings,syntax_status
src/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,OK
src/anomaly/build_anomaly_signals.py,1132bc5b6760d78ce17993b0612d058f91a6b38c9ef05e1814d4ce3f1ee6e5fa,658,99,12,OK
src/config/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,OK
src/config/paths.py,395ea021826ce9c06b974a032a8aa42eb27b440717c7d5eb79dd56fa3a2a12ec,36,11,0,OK
src/data/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,OK
src/data/build_visitor_features.py,72d938c38dbecdca18f8dbc3ff96289cb1c8476a6649741231598d4c7f400c2b,136,29,4,OK
src/features/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,OK
src/forecasting/build_business_forecasts.py,a1ef90b21e2c2f551cfbb2d0b040de478ae117253f4e947802fdff701b833d80,1268,119,23,OK
src/models/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,OK
src/models/analyze_thresholds.py,e37dc26bfbeacc10763f29c7d77b2a6b5c51e35bfca20a3dee6ed78c6e065068,89,2,6,OK
src/models/automl_model_registry.py,caf3663cecd26475eb3964954fc4af00c63d5771a6ef99a8c63e3ecf717a178b,489,180,1,OK
src/models/build_mvd_method_coverage.py,ba38a9ed151c0471df61b0df2a849e540d44c0f8b04913ffd3a7bb12dd599987,854,71,15,OK
src/models/finalize_true_champion.py,ee8ea8688824d9b576c03db32a9359f3523e0568159e39229172190cd241eb70,1387,103,24,OK
src/models/manual_model_registry.py,9ac5354ac9ec6bea8bd8602e793a204638d06f577a1262f3b6e350e6758f1789,213,62,1,OK
src/models/model_config.py,de3e4b3c49dc7f26663a3c98e4fe5d5930de2ba049a8cf056bae9bb7be9b2e74,84,14,1,OK
src/models/model_evaluation.py,b0a02775eb270b5df82a9aaa01d15fb5eb23f63c5e0ad222ab50ed15c9af31ee,526,155,7,OK
src/models/model_selection.py,2f3a7d4de5d686d5c41aa82dec25ee62486550948e0d5ff71ab3521befe124b4,348,105,7,OK
src/models/run_model_selection.py,f5ad346ec7d83655d2b8dd2701995895dc24137592779396fc29eddbf8051097,241,60,3,OK
src/models/train_baseline_model.py,6197fda067d216d4b2a5e28057bcc54a977bb414daa29f8af21b22dc152b1789,100,2,6,OK
src/monitoring/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,OK
src/monitoring/build_monitoring_snapshot.py,6d6d73bc0922d2bd7b86205bbf786f9a5098ce0b6c2602de4878d97eb2c9160b,439,0,1,OK
src/monitoring/metrics_exporter.py,552f016b64b6f761b0584035bbb61061e6cb02231d5e23d9e315f636829960fb,133,1,1,OK
src/monitoring/prediction_logger.py,2148e328145bf7583decca83b6b9988603da0a97542708ccb060531748863523,198,74,6,OK
src/segmentation/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,OK
src/segmentation/create_visitor_segments.py,bd071fda6cbb617d860cc49f5fe7446f26dfc24db00a0985ea5fdb0b47d554b7,162,24,8,OK
src/visualization/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,OK
app/Executive_Overview.py,eb3d0f9ec33b27c8150e7d045d845a843b7c6e3dc4bbcfe6ce8e59a89145f777,955,53,11,OK
