model_name,threshold,precision,recall,f1_score,predicted_positive_rate
Existing Champion Model,0.05,0.0031513382612649767,0.7487437185929648,0.006276260780741567,0.3336591252311123
Existing Champion Model,0.1,0.004188269730798574,0.6758793969849246,0.00832495164410058,0.2266206088662442
Existing Champion Model,0.15,0.0046954269060554815,0.6557788944723618,0.00932409259788511,0.1961314270390809
Existing Champion Model,0.2,0.004953857217050857,0.6231155778894473,0.009829567974633373,0.17664036808603728
Existing Champion Model,0.25,0.005254173409892034,0.5954773869346733,0.010416437754092957,0.15915698700125613
Existing Champion Model,0.3,0.005631341327248895,0.5829145728643216,0.01115491874218675,0.1453643458992562
Existing Champion Model,0.35,0.005962950202740307,0.5653266331658291,0.011801421415646062,0.13313832865228006
Existing Champion Model,0.4,0.006398537477148081,0.5452261306532663,0.012648636045698297,0.11966324643981201
Existing Champion Model,0.45,0.006904524872346575,0.5402010050251256,0.0136347781970384,0.10987184734591338
Existing Champion Model,0.5,0.007195978515356012,0.5251256281407035,0.014197405067590516,0.10247978208403313
Existing Champion Model,0.55,0.007318979606338379,0.5175879396984925,0.014433856502242152,0.09931125005292649
Existing Champion Model,0.6,0.007540753336044061,0.5125628140703518,0.014862846526538196,0.0954546737611675
Existing Champion Model,0.65,0.007778035755746459,0.5050251256281407,0.015320121951219512,0.09118174248091118
Existing Champion Model,0.7,0.007906388361796331,0.5025125628140703,0.015567836849069821,0.08925521855108463
Existing Champion Model,0.75,0.007924558205880023,0.5025125628140703,0.015603058199407084,0.0890505694889419
Existing Champion Model,0.8,0.007930843048616068,0.5025125628140703,0.01561524047470331,0.08898000084682371
Existing Champion Model,0.85,0.008041170794467674,0.5025125628140703,0.015829046299960427,0.08775916333817904
Existing Champion Model,0.9,0.008318007022237084,0.5,0.016363785872872297,0.08441420970177692
Existing Champion Model,0.95,0.009551562247045491,0.44472361809045224,0.018701463363093664,0.06538537535460742
Existing Champion Model,0.97,0.011259473114399133,0.39195979899497485,0.02189012839402231,0.048886426827374985
Existing Champion Model,0.98,0.015803549720398737,0.32663316582914576,0.030148423005565864,0.029024882503210874
Existing Champion Model,0.99,0.05390625,0.17336683417085427,0.08224076281287247,0.004516393095564055
Logistic Regression Class Weight,0.05,0.0014043159781519485,1.0,0.0028046932807159718,1.0
Logistic Regression Class Weight,0.1,0.0014043159781519485,1.0,0.0028046932807159718,1.0
Logistic Regression Class Weight,0.15,0.0014043159781519485,1.0,0.0028046932807159718,1.0
Logistic Regression Class Weight,0.2,0.0014043159781519485,1.0,0.0028046932807159718,1.0
Logistic Regression Class Weight,0.25,0.0016962386580867505,0.949748743718593,0.0033864291985450895,0.7862969810734902
Logistic Regression Class Weight,0.3,0.00264235804353064,0.8266331658291457,0.005267877157587985,0.4393250815067816
Logistic Regression Class Weight,0.35,0.003550380739483342,0.7462311557788944,0.007067137809187279,0.29516393095564053
Logistic Regression Class Weight,0.4,0.0044283224195599945,0.7085427135678392,0.00880163548120289,0.22469408493641765
Logistic Regression Class Weight,0.45,0.00500726244170935,0.6582914572864321,0.009938924926975456,0.1846216815096044
Logistic Regression Class Weight,0.5,0.0058770127574179366,0.6180904522613065,0.011643316925407043,0.14769311108915642
Logistic Regression Class Weight,0.55,0.007790930751484437,0.5175879396984925,0.015350795484183465,0.09329527331235092
Logistic Regression Class Weight,0.6,0.009133998222573318,0.4648241206030151,0.017915940344760798,0.07146486387308935
Logistic Regression Class Weight,0.65,0.011285846438482886,0.45979899497487436,0.022030939625594412,0.057213526597321214
